1,2,3
7.477477477477477485e+00,1.859911276570736405e+00,5.000000000000000000e+00
7.507507507507507505e+00,1.881151771225647362e+00,5.000000000000000000e+00
7.537537537537537524e+00,1.900695965610472271e+00,5.000000000000000000e+00
7.567567567567567544e+00,1.918526236042358502e+00,5.000000000000000000e+00
7.597597597597597563e+00,1.934626504343557762e+00,5.000000000000000000e+00
7.627627627627627582e+00,1.948982252339680699e+00,5.000000000000000000e+00
7.657657657657657602e+00,1.961580534951241628e+00,5.000000000000000000e+00
7.687687687687687621e+00,1.972409991866689083e+00,5.000000000000000000e+00
7.717717717717717640e+00,1.981460857786395691e+00,5.000000000000000000e+00
7.747747747747747660e+00,1.988724971228369887e+00,5.000000000000000000e+00
7.777777777777777679e+00,1.994195781887749597e+00,5.000000000000000000e+00
7.807807807807807698e+00,1.997868356543440749e+00,5.000000000000000000e+00
7.837837837837837718e+00,1.999739383506574875e+00,5.000000000000000000e+00
7.867867867867867737e+00,1.999807175606775012e+00,5.000000000000000000e+00
7.897897897897897757e+00,1.998071671713536501e+00,5.000000000000000000e+00
7.927927927927927776e+00,1.994534436791349119e+00,5.000000000000000000e+00
7.957957957957957795e+00,1.989198660488515680e+00,5.000000000000000000e+00
7.987987987987987815e+00,1.982069154260933441e+00,5.000000000000000000e+00
8.018018018018018722e+00,1.973152347033436893e+00,5.000000000000000000e+00
8.048048048048048742e+00,1.962456279402611470e+00,5.000000000000000000e+00
8.078078078078078761e+00,1.949990596386306896e+00,5.000000000000000000e+00
8.108108108108108780e+00,1.935766538726386932e+00,5.000000000000000000e+00
8.138138138138138800e+00,1.919796932752560359e+00,5.000000000000000000e+00
8.168168168168168819e+00,1.902096178816431671e+00,5.000000000000000000e+00
8.198198198198198838e+00,1.882680238306200016e+00,5.000000000000000000e+00
8.228228228228228858e+00,1.861566619253719024e+00,5.000000000000000000e+00
8.258258258258258877e+00,1.838774360546891584e+00,5.000000000000000000e+00
8.288288288288288896e+00,1.814324014761640402e+00,5.000000000000000000e+00
8.318318318318318916e+00,1.788237629628932401e+00,5.000000000000000000e+00
8.348348348348348935e+00,1.760538728153568266e+00,5.000000000000000000e+00
8.378378378378378954e+00,1.731252287402668566e+00,5.000000000000000000e+00
8.408408408408408974e+00,1.700404715982979376e+00,5.000000000000000000e+00
8.438438438438438993e+00,1.668023830227308713e+00,5.000000000000000000e+00
8.468468468468469013e+00,1.634138829111567270e+00,5.000000000000000000e+00
8.498498498498499032e+00,1.598780267925032694e+00,5.000000000000000000e+00
8.528528528528529051e+00,1.561980030717576851e+00,5.000000000000000000e+00
8.558558558558559071e+00,1.523771301548704660e+00,5.000000000000000000e+00
8.588588588588589090e+00,1.484188534564328643e+00,5.000000000000000000e+00
8.618618618618619109e+00,1.443267422928260935e+00,5.000000000000000000e+00
8.648648648648649129e+00,1.401044866636441455e+00,5.000000000000000000e+00
8.678678678678679148e+00,1.357558939242922147e+00,5.000000000000000000e+00
8.708708708708709167e+00,1.312848853527612825e+00,5.000000000000000000e+00
8.738738738738739187e+00,1.266954926136748760e+00,5.000000000000000000e+00
8.768768768768769206e+00,1.219918541227960729e+00,5.000000000000000000e+00
8.798798798798799226e+00,1.171782113152735505e+00,5.000000000000000000e+00
8.828828828828829245e+00,1.122589048209912788e+00,5.000000000000000000e+00
8.858858858858859264e+00,1.072383705504709850e+00,5.000000000000000000e+00
8.888888888888889284e+00,1.021211356948565907e+00,5.000000000000000000e+00
8.918918918918919303e+00,9.691181464358780140e-01,5.000000000000000000e+00
8.948948948948949322e+00,9.161510482344400463e-01,5.000000000000000000e+00
8.978978978978979342e+00,8.623578246271039749e-01,5.000000000000000000e+00
9.009009009009009361e+00,8.077869828428609900e-01,5.000000000000000000e+00
9.039039039039039380e+00,7.524877313161784098e-01,5.000000000000000000e+00
9.069069069069069400e+00,6.965099353140351557e-01,5.000000000000000000e+00
9.099099099099099419e+00,6.399040719706688973e-01,5.000000000000000000e+00
9.129129129129129439e+00,5.827211847705801029e-01,5.000000000000000000e+00
9.159159159159159458e+00,5.250128375208392706e-01,5.000000000000000000e+00
9.189189189189189477e+00,4.668310678542005876e-01,5.000000000000000000e+00
